GB.MES2;GB.MES1;GB.AC;GB.OPC;GB.NPC1;GB.NPC2;GB.G1.S;GB.G2.M;Astrocyte;Neurons_inhib;Neurons_excit;Oligodendrocyte;OPC;Endothelial;Perivascular_fibroblast;Pericyte;SMC;T_cell;MG;BDM
;;;;;;;;NTM;;;POLR2F;HECW1;KLF2;RBMS3-AS3;GUCY1A2;TEX41;RASGRP1;;
;;;;;;;;AHCYL1;;;ABCA2;SLC8A1;ADIPOR2;COLEC12;SLC20A2;FRY;KLRD1;;
;;;;;;;;LINC01748;;;PHLPP1;NOVA1;GPR85;ISM1;KCNT2;KIRREL1;NFATC2;;
;;;;;;;;SPON1;;;FAM107B;SLC24A3;CCDC85A;PKNOX2;MSC-AS1;DYNC1I1;PDGFD;;
;;;;;;;;ADGRA3;;;TMEM165;CDH13;SPOCK2;HCN1;HES4;NTN4;NKG7;;
;;;;;;;;TENM4;;;CD22;FAM19A2;LMBR1;MAMDC2;SLC6A17;;NCALD;;
;;;;;;;;CDHR3;;;SLCO1A2;STK32A;AKAP12;SLC16A12;COL5A3;;TXK;;
;;;;;;;;MIR99AHG;;;CDK19;LINC02588;USP6NL;FAM20A;LIN7A;;CD226;;
;;;;;;;;RGS20;;;FA2H;OPHN1;HMCN1;PRKAG2;KALRN;;TRERF1;;
;;;;;;;;PRKCA;;;SRCIN1;CDH10;MFSD2A;KAZN;SLC12A2;;PRF1;;
;;;;;;;;CDH4;;;CADM2;RGS7;RUNDC3B;ACSS3;COL4A1;;EPB41;;
;;;;;;;;SHROOM3;;;ENOX1;SORCS1;IGF1R;SYNPO2;ZFHX3;;PCED1B;;
;;;;;;;;DAPK1;;;OTUD7A;TRIM9;PDXK;NID1;ADAMTS9-AS2;;LINC00623;;
;;;;;;;;ITPKB;;;LINC00320;ZFPM2;WWTR1;ITGA8;SMOC2;;ITGAL;;
;;;;;;;;NPL;;;DSCAML1;NELL1;RNF144B;AC092958.1;EDNRA;;SPON2;;
;;;;;;;;AC073050.1;;;ALCAM;ADAMTS17;CPNE8;JAK2;FOXP2;;FAM129A;;
;;;;;;;;EYA2;;;NCAM1;CNTN3;NOTCH4;FNDC3B;SH3RF1;;SAMSN1;;
;;;;;;;;LINC00461;;;NRXN3;KCNIP1;PDE10A;C1S;CCDC102B;;RABGAP1L;;
;;;;;;;;RGMA;;;LINC01170;DAB1;MEF2A;ATRNL1;DAB1;;CCDC88C;;
;;;;;;;;RANBP3L;;;PDE1A;KIF26B;CNOT6L;NR2F1-AS1;PRELP;;CELF2;;
;;;;;;;;AL589740.1;;;MYRF;LRRN1;PRICKLE2;LINC02058;PARD3;;DOCK11;;
;;;;;;;;LRIG1;;;CDK18;KIAA1217;NR3C2;;SNRK;;RASA3;;
